1,1,1,1,8064
1,1,1,2,16256
1,1,1,4,14080
1,1,2,1,8064
1,1,2,2,16256
1,1,2,4,14080
1,1,4,1,4864
1,1,4,2,4864
1,1,4,4,4864
1,2,1,1,8064
1,2,1,2,16256
1,2,1,4,14080
1,2,2,1,8064
1,2,2,2,16256
1,2,2,4,14080
1,2,4,1,4864
1,2,4,2,4864
1,2,4,4,4864
1,4,1,1,8064
1,4,1,2,16256
1,4,1,4,14080
1,4,2,1,8064
1,4,2,2,16256
1,4,2,4,14080
1,4,4,1,4864
1,4,4,2,4864
1,4,4,4,4864
2,1,1,1,8127
2,1,1,2,2187151
2,1,1,4,1816430
2,1,2,1,8127
2,1,2,2,2187151
2,1,2,4,1816430
2,1,4,1,4864
2,1,4,2,733840
2,1,4,4,627456
2,2,1,1,8127
2,2,1,2,2187151
2,2,1,4,1816430
2,2,2,1,8127
2,2,2,2,2187151
2,2,2,4,1816430
2,2,4,1,4864
2,2,4,2,733840
2,2,4,4,627456
2,4,1,1,8064
2,4,1,2,2187024
2,4,1,4,1816320
2,4,2,1,8064
2,4,2,2,2187024
2,4,2,4,1816320
2,4,4,1,4864
2,4,4,2,627456
2,4,4,4,627456
4,1,1,1,8127
4,1,1,2,2187151
4,1,1,4,1816430
4,1,2,1,8127
4,1,2,2,2187151
4,1,2,4,1816430
4,1,4,1,4864
4,1,4,2,733840
4,1,4,4,627456
4,2,1,1,8127
4,2,1,2,2187151
4,2,1,4,1816430
4,2,2,1,8127
4,2,2,2,2187151
4,2,2,4,1816430
4,2,4,1,4864
4,2,4,2,733840
4,2,4,4,627456
4,4,1,1,8064
4,4,1,2,2187024
4,4,1,4,1816320
4,4,2,1,8064
4,4,2,2,2187024
4,4,2,4,1816320
4,4,4,1,4864
4,4,4,2,627456
4,4,4,4,627456
