1,1,1,1,2080512
1,1,1,2,2080512
1,1,1,4,13056
1,1,2,1,1922832
1,1,2,2,1922832
1,1,2,4,13056
1,1,4,1,1922832
1,1,4,2,1922832
1,1,4,4,13056
1,2,1,1,2080512
1,2,1,2,2080512
1,2,1,4,13056
1,2,2,1,1922832
1,2,2,2,1922832
1,2,2,4,13056
1,2,4,1,1922832
1,2,4,2,1922832
1,2,4,4,13056
1,4,1,1,2080512
1,4,1,2,2080512
1,4,1,4,13056
1,4,2,1,1922832
1,4,2,2,1922832
1,4,2,4,13056
1,4,4,1,1922832
1,4,4,2,1922832
1,4,4,4,13056
2,1,1,1,2080638
2,1,1,2,2080638
2,1,1,4,13158
2,1,2,1,2187151
2,1,2,2,2187151
2,1,2,4,13158
2,1,4,1,1790839
2,1,4,2,1790839
2,1,4,4,13158
2,2,1,1,2080638
2,2,1,2,2080638
2,2,1,4,13158
2,2,2,1,2187151
2,2,2,2,2187151
2,2,2,4,13158
2,2,4,1,1790839
2,2,4,2,1790839
2,2,4,4,13158
2,4,1,1,2080512
2,4,1,2,2080512
2,4,1,4,13056
2,4,2,1,1922832
2,4,2,2,1922832
2,4,2,4,13056
2,4,4,1,1922832
2,4,4,2,1922832
2,4,4,4,13056
4,1,1,1,2080638
4,1,1,2,2080638
4,1,1,4,13158
4,1,2,1,2187151
4,1,2,2,2187151
4,1,2,4,13158
4,1,4,1,1790839
4,1,4,2,1790839
4,1,4,4,13158
4,2,1,1,2080638
4,2,1,2,2080638
4,2,1,4,13158
4,2,2,1,2187151
4,2,2,2,2187151
4,2,2,4,13158
4,2,4,1,1790839
4,2,4,2,1790839
4,2,4,4,13158
4,4,1,1,2080512
4,4,1,2,2080512
4,4,1,4,13056
4,4,2,1,1922832
4,4,2,2,1922832
4,4,2,4,13056
4,4,4,1,1922832
4,4,4,2,1922832
4,4,4,4,13056
