,37,,,93,1,,,,,96,1,,,269,2,208,1,,,차분하게,"캠퍼스,오피스,페미닌",여,"20대,30대","봄,가을",256,524000,37
,38,,,318,1,,,,,224,1,,,174,2,211,1,,,학교데이트,캠퍼스,여,20대,"봄,가을",33024,436900,38
,39,,,43,1,,,,,94,1,,,181,2,139,1,,,무난무난,"캠퍼스,페미닌",여,"10대,20대","여름,가을",1064960,202900,39
,40,,,6,1,,,236,1,,,,,183,1,141,1,,,남자무난,"케쥬얼,캠퍼스",남,"10대,20대","여름,가을",425984,401000,40
,41,,,360,1,,,239,1,,,,,106,1,226,1,,,새벽에맥주사러,케쥬얼,남,"10대,20대","봄,여름,가을",256,221000,41
,42,,,197,1,,,149,1,,,,,178,2,263,1,,,공대생남친룩,"케쥬얼,캠퍼스",남,"10대,20대","여름,가을",8,512000,42
,43,,,145,1,,,194,1,,,,,182,2,212,1,,,해수욕장,케쥬얼,여,"10대,20대,30대",여름,8,300900,43
,44,,,19,1,,,,,61,1,,,161,2,264,1,,,새내기,"캠퍼스,러블리",여,"10대,20대","봄,가을",128,1432000,44
,45,,,21,1,,,,,386,1,,,58,1,322,1,,,귀요미,"캠퍼스,러블리",여,"10대,20대","봄,여름",258,275000,45
,46,,,,,,,,,,,392,1,176,1,330,1,,,투피스직장인,"오피스,페미닌",여,"20대,30대",여름,33024,274900,46
,47,,,109,1,,,149,1,,,,,153,3,137,1,,,모나미아닌척,"미니멀,케쥬얼,캠퍼스",남,"10대,20대,30대","봄,가을",132096,320000,47
,48,,,,,,,,,,,25,1,104,1,216,1,,,저녁산책,케쥬얼,여,"10대,20대,30대","봄,여름,가을",256,233000,48
,49,,,281,1,,,,,227,1,,,178,2,209,1,,,파란체크나시,"캠퍼스,페미닌",여,"10대,20대,30대",여름,2,463900,49
,50,36,1,,,,,,,,,223,1,272,1,322,1,,,회사,"오피스,페미닌",여,"20대,30대","봄,가을",33024,346800,50
,51,320,1,56,1,,,,,381,1,,,153,3,209,1,,,스쿨룩,"캠퍼스,페미닌",여,"10대,20대","봄,가을",256,480900,51
,52,,,63,1,,,37,1,,,,,58,1,138,1,,,운동화블라우스,"캠퍼스,페미닌",여,"10대,20대,30대","봄,여름,가을",2064,162900,52
,53,,,315,1,,,,,303,1,,,185,2,214,1,226,1,학교,캠퍼스,여,"10대,20대","봄,가을",32768,363900,53
,54,,,,,,,,,,,50,1,273,2,208,1,,,블랙미니원피스,페미닌,여,"10대,20대,30대","봄,여름,가을",387,457000,54
,55,,,,,,,,,,,294,1,268,1,264,1,,,봄블랙원피스,페미닌,여,"10대,20대,30대","봄,가을",387,432900,55
,56,,,200,1,,,,,224,1,,,187,1,213,1,,,파랭이,캠퍼스,여,"10대,20대,30대","봄,가을",32768,378900,56
,57,,,6,1,,,7,1,,,,,160,2,140,1,221,1,노란운동화,"케쥬얼,캠퍼스",여,"10대,20대","봄,가을",65536,298900,57
,58,,,128,1,,,191,1,,,,,152,1,214,1,,,남색셔츠,"미니멀,캠퍼스",남,"10대,20대,30대","봄,가을",2048,544000,58
,59,136,1,91,1,,,94,1,,,,,102,1,210,2,,,노란가방,캠퍼스,여,"10대,20대,30대",가을,8320,530800,59
,60,136,1,358,1,,,193,2,,,,,102,1,263,1,,,가디건남자,"미니멀,캠퍼스",남,"10대,20대,30대",가을,2048,416000,60
,61,,,283,1,,,,,299,1,,,171,2,211,1,,,회색쫄니트,"캠퍼스,섹시글램",여,"20대,30대",가을,3,241900,61
,62,287,1,53,1,,,9,1,,,,,58,1,,,48,1,모나미캐주얼,케쥬얼,"남,여","10대,20대,30대","봄,가을",256,170900,62
,63,,,114,1,,,167,1,,,,,178,2,139,1,,,여름아메카지,"케쥬얼,아메카지","남,여","10대,20대,30대",여름,32768,333000,63
,64,,,146,1,,,,,303,1,,,269,2,322,1,,,이상한니트,"캠퍼스,오피스",여,"20대,30대","봄,가을",2,311800,64
